"Story","Title","Result","Date","Stability","Duration (s)"
"Register","user tidak dapat register karena menggunakan email yang sudah terdaftar","SUCCESS","2023-05-07T18:12:56.2997031+07:00[Asia/Jakarta]","0.0","40.18"
"Register","user tidak dapat register karena tidak mengisi field nama lengkap","SUCCESS","2023-05-07T18:13:37.0413033+07:00[Asia/Jakarta]","0.0","36.57"
"Register","user tidak dapat register karena tidak mengisi field nama email","SUCCESS","2023-05-07T18:14:13.6555478+07:00[Asia/Jakarta]","0.0","18.3"
"Register","user tidak dapat register karena tidak mengisi field password","SUCCESS","2023-05-07T18:14:32.0089422+07:00[Asia/Jakarta]","0.0","18.62"
"Register","user dapat register karena semua field terisi dan data yang valid","SUCCESS","2023-05-07T18:14:50.6411984+07:00[Asia/Jakarta]","0.0","22.36"
