"Story","Title","Result","Date","Stability","Duration (s)"
"login","user tidak dapat login menggunakan akun yang belum terdaftar","ERROR","2023-05-06T10:01:17.6801406+07:00[Asia/Jakarta]","0.0","34.86"
"login","user bisa login menggunakan data valid","SUCCESS","2023-05-06T10:01:52.6964143+07:00[Asia/Jakarta]","0.0","14.07"
"login","user tidak bisa login karena menggunakan password yang salah","SUCCESS","2023-05-06T10:02:06.794343+07:00[Asia/Jakarta]","0.0","15.17"
"login","user tidak bisa login karena menggunakan email yang salah","SUCCESS","2023-05-06T10:02:21.9829094+07:00[Asia/Jakarta]","0.0","14.64"
"login","user tidak bisa login karena tidak menginput email di field email","SUCCESS","2023-05-06T10:02:36.6445514+07:00[Asia/Jakarta]","0.0","14.61"
"login","user tidak bisa login karena tidak menginput password di field password","SUCCESS","2023-05-06T10:02:51.2645356+07:00[Asia/Jakarta]","0.0","14.54"
