"Story","Title","Result","Date","Stability","Duration (s)"
"Authentication","POST - As user I have be able to to get token data from the login feature","FAILURE","2023-05-10T00:35:41.2020463+07:00[Asia/Jakarta]","0.0","5.83"
"Products","GET - As user I have be able to get detail products","SUCCESS","2023-05-10T00:35:48.1163415+07:00[Asia/Jakarta]","0.0","1.1"
